epoch,train_loss,train_acc,val_loss,val_acc
1,1.5812,0.2858,1.2613,0.4795
2,1.1022,0.5388,0.9915,0.5910
3,0.9095,0.6333,0.7879,0.6594
4,0.7796,0.6790,0.7151,0.6847
5,0.7025,0.7230,0.5939,0.7579
6,0.6415,0.7484,0.5597,0.7613
7,0.5939,0.7674,0.5087,0.8016
8,0.5724,0.7832,0.4971,0.7900
9,0.5395,0.7891,0.5573,0.7969
10,0.5039,0.8114,0.5321,0.7873
11,0.4844,0.8087,0.4836,0.8030
12,0.4780,0.8127,0.4297,0.8399
13,0.4551,0.8238,0.4133,0.8324
14,0.4384,0.8320,0.4260,0.8454
15,0.4141,0.8457,0.3915,0.8454
16,0.4170,0.8369,0.3897,0.8345
17,0.4020,0.8492,0.3766,0.8454
18,0.3766,0.8545,0.3904,0.8557
19,0.3793,0.8537,0.3790,0.8372
20,0.3485,0.8625,0.3856,0.8632
21,0.3423,0.8656,0.4023,0.8413
22,0.3270,0.8726,0.3613,0.8653
23,0.3174,0.8786,0.3981,0.8529
24,0.2985,0.8841,0.3773,0.8639
25,0.2890,0.8869,0.3682,0.8653
26,0.2837,0.8908,0.3397,0.8632
27,0.2676,0.9005,0.3604,0.8666
28,0.2585,0.9003,0.3719,0.8666
29,0.2645,0.8986,0.3973,0.8625
30,0.2426,0.9083,0.3705,0.8625
